,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLA,lat_short,long_short
8571,8572,2,1,4,111,2016,5,19,4,3,4,7,0,0,1,0,0,0,0.0,0,563850.827700000020000,5934762.397699999600000,9.963913319000000,53.557855803999999,,9.964,53.558
8577,8578,2,4,7,417,2016,8,13,5,3,5,2,0,0,1,1,0,0,0.0,0,568392.582000000050000,5935698.799999999800000,10.032670284000000,53.565699244999998,,10.033,53.566
8579,8580,2,3,1,307,2016,8,17,6,3,4,6,0,0,1,0,0,0,0.0,0,563135.491000000040000,5936235.042100000200000,9.953413617000001,53.571177472000002,,9.953,53.571
8580,8581,2,3,1,304,2016,10,19,7,3,5,3,2,1,1,1,0,0,0.0,0,562505.558300000030000,5936162.519799999900000,9.943887867000001,53.570601117000002,,9.944,53.571
8583,8584,2,1,3,106,2016,5,9,4,3,3,6,0,0,1,1,0,1,0.0,0,564296.097900000050000,5933951.359199999800000,9.970467399000000,53.550512404999999,,9.97,53.551
8595,8596,2,3,4,316,2016,7,9,5,3,6,6,0,0,1,0,1,0,0.0,0,563959.110100000050000,5937418.027800000300000,9.966091580000001,53.581709533000001,,9.966,53.582
8599,8600,2,4,4,407,2016,6,9,6,3,5,2,0,0,1,1,0,0,0.0,0,565294.139399999990000,5939772.388700000000000,9.986746598000000,53.602704131000003,,9.987,53.603
8613,8614,2,2,5,216,2016,8,18,3,2,5,2,0,0,1,1,0,0,0.0,0,559620.803100000020000,5935508.001100000000000,9.900206691999999,53.565054406999998,,9.9,53.565
8625,8626,2,7,13,714,2016,10,11,6,2,5,2,0,1,1,1,0,0,0.0,0,558659.291300000040000,5925155.783499999900000,9.883752454000000,53.472121477000002,,9.884,53.472
8630,8631,2,2,3,209,2016,8,18,4,3,5,3,0,0,1,1,0,0,0.0,0,562346.309400000030000,5935378.597400000300000,9.941326962000000,53.563574674999998,,9.941,53.564
8631,8632,2,4,6,415,2016,8,16,5,2,5,3,0,1,1,1,0,0,0.0,0,568042.462900000040000,5936163.242300000000000,10.027485891000000,53.569918760000000,,10.027,53.57
8635,8636,2,4,6,414,2016,8,14,4,3,1,5,0,0,1,0,0,0,0.0,1,567643.420300000000000,5936715.952800000100000,10.021580868999999,53.574937640999998,,10.022,53.575
8637,8638,2,1,8,125,2016,8,14,4,3,5,3,0,1,1,1,0,0,0.0,0,570602.854700000030000,5933997.624599999700000,10.065652997000001,53.550118011000002,,10.066,53.55
8643,8644,2,2,9,221,2016,7,12,4,3,3,2,0,0,1,1,0,0,0.0,0,556047.218200000000000,5936334.055100000500000,9.846404511999999,53.572872486999998,,9.846,53.573
8654,8655,2,2,5,216,2016,11,10,3,2,4,6,0,1,1,0,0,0,0.0,0,560409.700100000020000,5935565.819199999800000,9.912127677999999,53.565483819999997,,9.912,53.565
8657,8658,2,2,6,218,2016,6,9,5,3,3,2,0,0,1,0,0,0,0.0,1,558083.371999999970000,5936040.093000000300000,9.877095194000001,53.570009014999997,,9.877,53.57
8658,8659,2,2,9,221,2016,10,6,5,3,5,2,2,1,1,1,0,0,0.0,0,555411.088200000000000,5936440.128499999600000,9.836817867000001,53.573893408000004,,9.837,53.574
8663,8664,2,3,5,317,2016,12,16,6,3,5,3,1,1,1,1,0,0,0.0,0,563617.245000000000000,5939999.455000000100000,9.961455137000000,53.604951084000000,,9.961,53.605
8669,8670,2,2,3,209,2016,10,17,6,3,5,3,0,0,1,1,0,0,0.0,0,562366.492300000040000,5935375.131000000100000,9.941630954000001,53.563541123000000,,9.942,53.564
8671,8672,2,7,13,714,2016,9,7,4,3,5,3,0,0,1,1,0,0,0.0,0,558963.153999999980000,5925140.607300000300000,9.888326955000000,53.471951138999998,,9.888,53.472
8677,8678,2,2,9,221,2016,8,18,2,3,5,3,0,1,1,0,0,0,0.0,0,556050.190300000020000,5936334.099299999900000,9.846449398000001,53.572872566000001,,9.846,53.573
8680,8681,2,7,14,715,2016,7,10,2,3,5,2,0,0,1,1,0,0,0.0,0,556418.985100000050000,5925191.250300000400000,9.850010851000000,53.472685063000000,,9.85,53.473
8682,8683,2,4,5,411,2016,9,7,3,3,6,7,0,0,1,0,1,0,0.0,0,567398.111500000000000,5937900.133700000100000,10.018132460000000,53.585611604000000,,10.018,53.586
8686,8687,2,1,4,111,2016,7,9,2,3,4,3,0,0,1,0,0,0,0.0,0,564059.415900000020000,5934140.474100000200000,9.966934293000000,53.552240970000000,,9.967,53.552
8694,8695,2,3,1,304,2016,6,10,2,3,5,3,0,1,1,1,0,0,0.0,0,562153.360499999950000,5936726.968799999900000,9.938682517000000,53.575715860999999,,9.939,53.576
8695,8696,2,6,1,601,2016,11,7,4,3,5,3,1,0,1,1,0,0,0.0,0,579768.552799999950000,5927587.541400000500000,10.202332688000000,53.491200325999998,,10.202,53.491
8699,8700,2,7,9,710,2016,7,16,4,3,1,5,0,0,1,1,0,0,0.0,0,563634.970800000010000,5922395.827300000000000,9.958145629000001,53.446738615000001,,9.958,53.447
8700,8701,2,4,4,407,2016,6,23,6,2,5,3,2,0,1,1,0,0,0.0,0,565340.681199999990000,5939831.940200000100000,9.987462323000001,53.603233529999997,,9.987,53.603
8705,8706,2,3,5,317,2016,7,9,3,2,5,3,0,0,1,1,0,0,1.0,0,564094.896500000030000,5938027.671600000000000,9.968267513000001,53.587171982999998,,9.968,53.587
8716,8717,2,4,6,414,2016,7,9,2,3,5,3,0,0,1,1,0,0,0.0,0,567471.129500000040000,5937325.770600000400000,10.019111114999999,53.580440342000003,,10.019,53.58
8717,8718,2,3,1,304,2016,6,17,4,3,5,3,0,0,1,1,0,0,0.0,0,562799.774100000040000,5936481.472699999800000,9.948394256000000,53.573432517999997,,9.948,53.573
8719,8720,2,4,6,415,2016,6,18,4,3,5,3,0,0,1,1,0,0,0.0,0,568306.416300000040000,5935815.621500000400000,10.031395031000001,53.566760356000003,,10.031,53.567
8721,8722,2,2,3,208,2016,10,18,5,3,0,7,2,0,1,0,0,0,0.0,0,563063.457199999950000,5935198.874499999900000,9.952116809000000,53.561873757000001,,9.952,53.562
8727,8728,2,3,1,306,2016,12,17,1,3,5,3,2,1,1,1,0,0,0.0,0,562942.603099999950000,5936383.109299999700000,9.950531088000000,53.572531376999997,,9.951,53.573
8735,8736,2,3,6,318,2016,5,16,6,3,0,3,0,0,1,1,0,0,0.0,0,563350.994599999980000,5940634.253999999700000,9.957560941000001,53.610688439999997,,9.958,53.611
8745,8746,2,4,3,406,2016,6,18,6,3,5,2,0,0,1,1,0,0,0.0,0,565301.444400000040000,5939849.094600000400000,9.986873046000000,53.603392589999999,,9.987,53.603
8746,8747,2,1,4,111,2016,11,2,7,3,3,2,2,0,1,1,0,0,0.0,0,563985.821099999940000,5934237.745400000400000,9.965843509999999,53.553124152999999,,9.966,53.553
8754,8755,2,1,7,120,2016,5,18,5,3,3,2,0,0,1,0,0,0,0.0,1,568810.128099999970000,5935002.207600000300000,10.038820335000000,53.559384313999999,,10.039,53.559
8755,8756,2,4,3,406,2016,5,15,2,3,5,2,0,0,1,1,0,0,0.0,0,566113.902299999960000,5940930.798600000300000,9.999378853000000,53.613012144000002,,9.999,53.613
